school,mean_rank,rank_variance,num_languages,min_rank,max_rank,School DBN,School Name
21K559,240.57142857142858,9480.619047619048,7,145.0,385.0,21K559,Life Academy High School for Film and Music
03M402,240.85714285714286,9375.142857142857,7,144.0,377.0,03M402,The Urban Assembly School for Green Careers
09X564,221.14285714285714,9355.47619047619,7,103.0,397.0,09X564,Claremont International HS
29Q243,219.42857142857142,9284.95238095238,7,144.0,417.0,29Q243,Institute for Health Professions at Cambria Heights
08X432,181.85714285714286,9233.809523809525,7,54.0,361.0,08X432,Bronx Bridges High School
01M515,175.42857142857142,9124.952380952383,7,73.0,315.0,01M515,Lower East Side Preparatory High School
02M419,239.0,9098.333333333334,7,144.0,384.0,02M419,Landmark High School
02M427,209.28571428571428,9081.57142857143,7,123.0,391.0,02M427,Manhattan Academy For Arts & Language
05M148,234.0,9011.0,7,144.0,410.0,05M148,Eagle Academy for Young Men of Harlem
17K122,176.57142857142858,8993.952380952382,7,86.0,379.0,17K122,Pathways in Technology Early College High School (P-Tech)
11X265,195.85714285714286,8952.809523809525,7,124.0,342.0,11X265,Bronx Lab School
18K637,199.42857142857142,8868.952380952382,7,86.0,367.0,18K637,Academy for Conservation and the Environment
02M534,188.71428571428572,8837.238095238095,7,77.0,298.0,02M534,Harvest Collegiate High School
