School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
30Q258,Energy Tech High School,30,1,4,1,1535,348,108,145,0.25,141
32K552,The Academy of Urban Planning and Engineering,32,1,4,1,737,128,113,-2,0.25,141
01M515,Lower East Side Preparatory High School,1,1,49,11,317,89,75,-2,2.4693877551020407,33
02M507,Urban Assembly Gateway School for Technology,2,1,28,6,1299,278,108,146,1.2857142857142858,51
04M495,Park East High School,4,1,14,3,2653,739,100,166,0.6428571428571429,59
18K637,Academy for Conservation and the Environment,18,1,5,1,727,92,170,217,0.2,149
01M448,University Neighborhood High School,1,1,182,36,2248,447,125,185,7.1208791208791204,16
02M294,Essex Street Academy,2,1,177,35,2478,562,90,125,6.9209039548022595,18
02M308,Lower Manhattan Arts Academy,2,1,72,14,524,69,95,-2,2.7222222222222223,30
02M280,Manhattan Early College School for Advertising,2,1,62,12,572,88,112,-2,2.3225806451612905,35
02M420,High School for Health Professions and Human Services,2,1,74,14,2991,776,477,590,2.6486486486486487,32
02M282,Urban Assembly Maker Academy,2,1,70,13,1074,175,150,216,2.414285714285714,34
02M439,Manhattan Village Academy,2,1,97,18,3002,860,100,201,3.3402061855670104,27
02M543,New Design High School,2,1,112,20,852,157,125,145,3.5714285714285716,26
02M489,High School of Economics and Finance,2,1,47,8,1374,223,230,-2,1.3617021276595744,46
02M288,Food and Finance High School,2,1,24,4,1225,264,150,211,0.6666666666666666,58
11X455,Harry S Truman High School,11,1,6,1,1891,390,913,-2,0.16666666666666666,152
12X641,Bard High School Early College Bronx,12,1,6,1,1391,613,100,106,0.16666666666666666,152
15K429,Digital Arts and Cinema Technology High School,15,1,6,1,579,105,90,94,0.16666666666666666,152
18K629,Cultural Academy for the Arts and Sciences,18,1,6,1,567,70,116,80,0.16666666666666666,152
22K405,Midwood High School,22,1,13,2,11658,5495,910,1323,0.3076923076923077,138
02M395,A School Without Walls,2,1,7,1,178,36,100,-2,0.14285714285714285,156
02M529,Jacqueline Kennedy Onassis High School,2,1,7,1,534,81,204,-2,0.14285714285714285,156
