School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
09X297,Morris Academy for Collaborative Studies,9,ENGLISH,308,48.0,568.0,80.0,123.0,6.0,7.48051948051948,276
02M280,Manhattan Early College School for Advertising,2,ENGLISH,354,51.0,572.0,88.0,112.0,6.0,7.3474576271186445,277
08X367,"Archimedes Academy for Math, Science and Technology Applications",8,ENGLISH,264,44.0,427.0,75.0,100.0,6.0,7.333333333333333,278
19K422,Spring Creek Community School,19,ENGLISH,268,44.0,341.0,50.0,73.0,6.0,7.223880597014926,279
17K546,High School for Public Service: Heroes of Tomorrow,17,ENGLISH,500,60.0,656.0,69.0,130.0,6.0,7.2,280
18K576,Victory Collegiate High School,18,ENGLISH,234,41.0,305.0,61.0,140.0,6.0,7.183760683760684,281
08X561,Bronx Compass High School,8,ENGLISH,310,47.0,520.0,70.0,130.0,6.0,7.125806451612903,282
07X527,Bronx Leadership Academy II High School,7,ENGLISH,566,63.0,911.0,103.0,131.0,6.0,7.012367491166078,283
03M307,"Urban Assembly School for Media Studies, The",3,ENGLISH,209,38.0,328.0,71.0,126.0,109.0,6.909090909090909,284
28Q310,Queens Collegiate: A College Board School,28,ENGLISH,297,45.0,453.0,67.0,115.0,77.0,6.818181818181818,285
09X250,Eximius College Preparatory Academy: A College Board School,9,ENGLISH,444,55.0,761.0,90.0,108.0,6.0,6.813063063063063,286
12X684,Wings Academy,12,ENGLISH,247,41.0,370.0,63.0,150.0,86.0,6.805668016194332,287
18K642,Urban Action Academy,18,ENGLISH,180,35.0,231.0,44.0,107.0,6.0,6.805555555555555,288
28Q325,Hillside Arts & Letters Academy,28,ENGLISH,298,45.0,520.0,82.0,108.0,133.0,6.795302013422819,289
29Q248,Queens Preparatory Academy,29,ENGLISH,280,43.0,383.0,62.0,100.0,6.0,6.603571428571429,290
02M047,47 The American Sign Language and English Secondary School,2,ENGLISH,166,33.0,318.0,55.0,69.0,6.0,6.5602409638554215,291
10X433,High School for Teaching and the Professions,10,ENGLISH,157,32.0,344.0,61.0,102.0,6.0,6.522292993630574,292
09X525,Bronx Leadership Academy High School,9,ENGLISH,591,62.0,1027.0,107.0,105.0,123.0,6.504230118443316,293
25Q240,Veritas Academy,25,ENGLISH,170,33.0,526.0,96.0,130.0,6.0,6.405882352941177,294
